Transaction_ID,Product_ID,Product _Name,Category,Price,Quantity_Sold,Customer_Age,Customer_Gender,Transaction_Date,Payment_Method,Discount,Region,Membership Status,Order_month,Order_duration,Profit_Margin
1,2,Smartphone,Electronics,502.28,5,57,Female,12 April 2023,PayPal,0.29,North America,Premium,,,
2,1,Laptop,Electronics,842.56,4,22,Male,20 June 2023,Bank Transfer,0.07,Asia,Premium,,,
3,5,Tablet,Electronics,499.13,4,64,Male,08 May 2023,Bank Transfer,0.13,North America,Regular,,,
4,5,Tablet,Electronics,234.48,3,22,Male,10 September 2023,Bank Transfer,0.07,Africa,Premium,,,
5,2,Smartphone,Electronics,1032.78,3,48,Male,11 April 2023,Bank Transfer,0.17,Asia,Regular,,,
6,1,Laptop,Electronics,702.2,5,57,Male,01 October 2023,Credit Card,0.26,Europe,Regular,,,
7,2,Smartphone,Electronics,84.59,5,41,Female,12 January 2023,Bank Transfer,0.22,Asia,Regular,,,
8,5,Tablet,Electronics,540.66,3,20,Male,30 October 2023,Credit Card,0.22,Africa,Regular,,,
9,5,Tablet,Electronics,685.05,1,44,Female,15 September 2023,Bank Transfer,0.3,Asia,Regular,,,
10,3,Headphones,Accessories,1280.46,5,61,Male,31 October 2023,Credit Card,0.08,Africa,Premium,,,
11,2,Smartphone,Electronics,958.73,2,37,Male,13 September 2023,PayPal,0.22,South America,Regular,,,
12,3,Headphones,Accessories,947.82,4,32,Male,11 July 2023,Credit Card,0.05,Europe,Regular,,,
13,5,Tablet,Electronics,248.33,4,48,Female,27 December 2023,Credit Card,0.03,Asia,Premium,,,
14,1,Laptop,Electronics,673.27,1,56,Male,30 May 2023,PayPal,0.07,South America,Premium,,,
15,2,Smartphone,Electronics,611.39,3,62,Female,29 May 2023,PayPal,0.22,Europe,Premium,,,
16,4,Smartwatch,Electronics,721.43,2,56,Male,28 April 2023,Debit Card,0.2,North America,Regular,,,
17,1,Laptop,Electronics,1209.75,1,58,Male,25 June 2023,PayPal,0.16,Europe,Regular,,,
18,1,Laptop,Electronics,88.86,3,54,Female,30 August 2023,PayPal,0.22,Asia,Regular,,,
19,1,Laptop,Electronics,523.05,3,45,Female,12 May 2023,PayPal,0.28,South America,Premium,,,
20,5,Tablet,Electronics,202.92,3,44,Female,25 September 2023,Credit Card,0.12,South America,Premium,,,
21,5,Tablet,Electronics,964.87,2,44,Female,03 August 2023,Credit Card,0.06,Africa,Regular,,,
22,1,Laptop,Electronics,1316.18,4,62,Female,08 May 2023,Debit Card,0.3,North America,Regular,,,
23,5,Tablet,Electronics,1256.1,3,40,Female,27 June 2023,Bank Transfer,0.1,Asia,Regular,,,
24,4,Smartwatch,Electronics,1196.47,3,41,Male,08 October 2023,PayPal,0.18,Europe,Regular,,,
25,5,Tablet,Electronics,303.32,3,31,Female,15 February 2023,Bank Transfer,0.2,South America,Premium,,,
26,5,Tablet,Electronics,1387.33,1,59,Female,09 June 2023,PayPal,0.15,Africa,Premium,,,
27,1,Laptop,Electronics,1195.88,1,57,Male,20 August 2023,Credit Card,0.09,North America,Premium,,,
28,3,Headphones,Accessories,1424.46,3,26,Male,28 November 2023,PayPal,0.14,Asia,Premium,,,
29,4,Smartwatch,Electronics,1104.25,1,45,Male,05 July 2023,Bank Transfer,0.2,Asia,Regular,,,
30,5,Tablet,Electronics,626.34,1,31,Male,09 November 2023,Debit Card,0.27,Africa,Premium,,,
31,3,Headphones,Accessories,1269.21,4,55,Male,16 November 2023,Bank Transfer,0.23,North America,Regular,,,
32,2,Smartphone,Electronics,90.28,4,45,Female,23 October 2023,Debit Card,0.3,South America,Regular,,,
33,2,Smartphone,Electronics,602.78,4,39,Male,19 June 2023,Credit Card,0.06,South America,Regular,,,
34,3,Headphones,Accessories,52.03,1,38,Female,27 June 2023,Credit Card,0.26,Africa,Premium,,,
35,4,Smartwatch,Electronics,1406.3,2,24,Male,12 February 2023,PayPal,0.14,North America,Premium,,,
36,5,Tablet,Electronics,777.54,1,40,Male,01 October 2023,Debit Card,0.3,Europe,Premium,,,
37,4,Smartwatch,Electronics,464.71,1,44,Female,02 August 2023,Bank Transfer,0.24,Asia,Premium,,,
38,3,Headphones,Accessories,435.28,4,45,Female,08 December 2023,Bank Transfer,0.11,Asia,Premium,,,
39,4,Smartwatch,Electronics,763.94,5,18,Male,24 May 2023,Debit Card,0.01,Africa,Premium,,,
40,4,Smartwatch,Electronics,1165.76,2,60,Female,26 June 2023,Bank Transfer,0.21,Europe,Regular,,,
41,3,Headphones,Accessories,51.77,1,38,Female,07 July 2023,Debit Card,0.19,Africa,Regular,,,
42,3,Headphones,Accessories,1274.29,3,49,Male,22 March 2023,Bank Transfer,0.27,Asia,Regular,,,
43,2,Smartphone,Electronics,1292.9,5,24,Female,24 October 2023,Debit Card,0,North America,Regular,,,
44,3,Headphones,Accessories,1195.09,3,65,Female,15 August 2023,Credit Card,0.19,South America,Regular,,,
45,5,Tablet,Electronics,218.86,1,54,Female,26 April 2023,Debit Card,0.2,South America,Premium,,,
46,3,Headphones,Accessories,1139.23,2,42,Female,30 January 2023,Credit Card,0,Asia,Premium,,,
47,4,Smartwatch,Electronics,383.75,5,43,Male,01 May 2023,Credit Card,0.21,Asia,Regular,,,
48,1,Laptop,Electronics,1347.37,2,20,Female,12 June 2023,Debit Card,0.16,North America,Regular,,,
49,4,Smartwatch,Electronics,1301.22,5,53,Female,13 November 2023,Bank Transfer,0.23,Europe,Regular,,,
50,3,Headphones,Accessories,347.97,5,62,Female,07 June 2023,PayPal,0.12,Africa,Premium,,,
51,3,Headphones,Accessories,641.18,1,65,Female,17 April 2023,PayPal,0.18,Europe,Regular,,,
52,3,Headphones,Accessories,146.69,5,45,Male,13 April 2023,Bank Transfer,0.06,Europe,Premium,,,
53,4,Smartwatch,Electronics,1269,3,50,Female,13 May 2023,PayPal,0.23,Europe,Premium,,,
54,3,Headphones,Accessories,203.63,3,51,Male,29 November 2023,Bank Transfer,0.13,North America,Regular,,,
55,3,Headphones,Accessories,133.5,2,33,Male,17 October 2023,PayPal,0.12,South America,Regular,,,
56,3,Headphones,Accessories,769.8,2,51,Male,15 September 2023,PayPal,0.2,South America,Premium,,,
57,2,Smartphone,Electronics,256.49,5,58,Male,03 January 2023,Debit Card,0.06,Asia,Regular,,,
58,3,Headphones,Accessories,267.86,2,50,Male,30 March 2023,Debit Card,0.17,North America,Regular,,,
59,3,Headphones,Accessories,930.41,1,41,Male,13 February 2023,Bank Transfer,0.01,North America,Premium,,,
60,1,Laptop,Electronics,86.86,5,27,Female,15 April 2023,Debit Card,0.06,Asia,Premium,,,
61,2,Smartphone,Electronics,1329.72,4,43,Female,10 March 2023,Credit Card,0.2,South America,Premium,,,
62,1,Laptop,Electronics,758.17,2,37,Female,18 May 2023,PayPal,0.1,Europe,Regular,,,
63,4,Smartwatch,Electronics,335.87,4,62,Female,28 May 2023,Debit Card,0.09,Asia,Regular,,,
64,2,Smartphone,Electronics,1263.37,3,35,Female,01 September 2023,Debit Card,0.01,North America,Regular,,,
65,5,Tablet,Electronics,597.27,4,53,Male,06 April 2023,Credit Card,0.19,Africa,Regular,,,
66,5,Tablet,Electronics,724.21,4,36,Female,04 August 2023,PayPal,0.1,South America,Regular,,,
67,1,Laptop,Electronics,1276.99,1,33,Female,30 May 2023,PayPal,0.14,Africa,Regular,,,
68,1,Laptop,Electronics,53.88,4,54,Male,03 September 2023,Bank Transfer,0.22,Africa,Premium,,,
69,4,Smartwatch,Electronics,1361.44,1,51,Female,12 October 2023,Bank Transfer,0.22,South America,Regular,,,
70,2,Smartphone,Electronics,929.59,1,18,Male,06 December 2023,Debit Card,0.07,North America,Regular,,,
71,5,Tablet,Electronics,180.5,5,18,Male,10 December 2023,Bank Transfer,0.3,South America,Regular,,,
72,3,Headphones,Accessories,167.17,1,45,Female,23 May 2023,PayPal,0.25,Africa,Premium,,,
73,2,Smartphone,Electronics,284.97,2,22,Male,07 September 2023,Bank Transfer,0.2,Africa,Premium,,,
74,1,Laptop,Electronics,85.6,3,40,Female,15 June 2023,Debit Card,0.27,North America,Regular,,,
75,5,Tablet,Electronics,816.71,4,22,Male,02 March 2023,Debit Card,0,Africa,Regular,,,
76,3,Headphones,Accessories,1068.75,5,20,Male,13 December 2023,Debit Card,0.15,South America,Regular,,,
77,5,Tablet,Electronics,1360.62,4,32,Male,21 January 2023,Debit Card,0.11,Europe,Regular,,,
78,1,Laptop,Electronics,159.97,2,21,Male,22 July 2023,PayPal,0.01,South America,Premium,,,
79,4,Smartwatch,Electronics,1301.89,5,27,Male,08 August 2023,Bank Transfer,0.06,South America,Regular,,,
80,4,Smartwatch,Electronics,145.91,4,29,Male,07 December 2023,Bank Transfer,0.12,North America,Premium,,,
81,4,Smartwatch,Electronics,1287.6,1,35,Male,16 January 2023,Bank Transfer,0.24,Asia,Premium,,,
82,1,Laptop,Electronics,203.21,5,41,Male,02 August 2023,Credit Card,0.09,South America,Regular,,,
83,1,Laptop,Electronics,430.96,2,62,Female,29 April 2023,PayPal,0.13,Africa,Premium,,,
84,1,Laptop,Electronics,1203.77,1,21,Male,28 January 2023,Credit Card,0.25,North America,Regular,,,
85,5,Tablet,Electronics,236.17,1,54,Female,20 June 2023,Debit Card,0.02,Europe,Premium,,,
86,1,Laptop,Electronics,530.97,5,33,Male,27 January 2023,PayPal,0.01,Asia,Premium,,,
87,1,Laptop,Electronics,494.45,1,47,Female,13 July 2023,Credit Card,0.29,South America,Regular,,,
88,1,Laptop,Electronics,1311.35,4,53,Female,02 December 2023,Credit Card,0.11,North America,Premium,,,
89,4,Smartwatch,Electronics,883.12,4,60,Female,27 May 2023,Debit Card,0.15,Africa,Regular,,,
90,2,Smartphone,Electronics,1203.84,1,32,Female,08 January 2023,PayPal,0.13,South America,Premium,,,
91,5,Tablet,Electronics,1340.16,3,37,Male,22 May 2023,PayPal,0.23,North America,Premium,,,
92,4,Smartwatch,Electronics,755.94,3,23,Female,11 December 2023,Credit Card,0.07,North America,Regular,,,
93,1,Laptop,Electronics,1313.69,1,64,Female,20 September 2023,PayPal,0.13,Africa,Regular,,,
94,2,Smartphone,Electronics,719.55,5,29,Female,16 September 2023,PayPal,0,Africa,Premium,,,
95,5,Tablet,Electronics,676.12,2,44,Male,17 October 2023,Credit Card,0.06,North America,Premium,,,
96,5,Tablet,Electronics,261.75,4,20,Male,03 October 2023,Debit Card,0.11,North America,Premium,,,
97,2,Smartphone,Electronics,1061.7,3,54,Male,21 April 2023,PayPal,0.19,South America,Premium,,,
98,4,Smartwatch,Electronics,218.32,1,38,Female,02 May 2023,Credit Card,0.28,North America,Premium,,,
99,4,Smartwatch,Electronics,601.54,4,59,Male,26 September 2023,Bank Transfer,0.12,Asia,Regular,,,
100,3,Headphones,Accessories,816.11,4,50,Male,24 April 2023,PayPal,0.26,South America,Regular,,,
101,5,Tablet,Electronics,1294.76,2,53,Female,23 September 2023,Bank Transfer,0.26,North America,Premium,,,
102,3,Headphones,Accessories,1337.93,3,38,Female,30 July 2023,Bank Transfer,0.16,Africa,Premium,,,
103,5,Tablet,Electronics,769.09,1,59,Female,26 March 2023,Debit Card,0.28,Asia,Premium,,,
104,1,Laptop,Electronics,242.34,1,44,Female,21 July 2023,Bank Transfer,0.29,Africa,Premium,,,
105,4,Smartwatch,Electronics,936.03,5,42,Female,19 April 2023,PayPal,0.04,Asia,Regular,,,
106,4,Smartwatch,Electronics,1380.63,3,61,Female,26 November 2023,PayPal,0.22,North America,Regular,,,
107,5,Tablet,Electronics,993.5,2,27,Female,20 June 2023,Bank Transfer,0.16,North America,Premium,,,
108,5,Tablet,Electronics,529.3,1,34,Male,10 January 2023,Debit Card,0.04,South America,Regular,,,
109,2,Smartphone,Electronics,974.04,3,48,Male,18 September 2023,Bank Transfer,0.04,North America,Premium,,,
110,4,Smartwatch,Electronics,406.55,3,22,Male,28 August 2023,Debit Card,0.08,Africa,Regular,,,
111,5,Tablet,Electronics,1428.21,2,60,Male,05 January 2023,Credit Card,0.19,Africa,Premium,,,
112,4,Smartwatch,Electronics,695.47,3,58,Male,02 March 2023,Bank Transfer,0.21,Africa,Regular,,,
113,5,Tablet,Electronics,1025.59,3,40,Male,13 November 2023,PayPal,0.07,North America,Regular,,,
114,4,Smartwatch,Electronics,157.45,5,54,Female,19 March 2023,Bank Transfer,0.12,North America,Regular,,,
115,5,Tablet,Electronics,78.24,4,65,Male,08 June 2023,PayPal,0.1,Europe,Regular,,,
116,4,Smartwatch,Electronics,602.42,5,20,Female,10 February 2023,Bank Transfer,0.22,Africa,Regular,,,
117,4,Smartwatch,Electronics,110.63,5,29,Male,27 September 2023,Debit Card,0.17,North America,Regular,,,
118,4,Smartwatch,Electronics,437.23,4,45,Female,24 February 2023,PayPal,0.14,South America,Regular,,,
119,1,Laptop,Electronics,227.83,5,31,Female,24 October 2023,PayPal,0.07,Europe,Regular,,,
120,3,Headphones,Accessories,809.69,5,57,Female,11 April 2023,PayPal,0.03,North America,Premium,,,
121,4,Smartwatch,Electronics,185.4,5,46,Female,25 February 2023,Bank Transfer,0.09,North America,Regular,,,
122,1,Laptop,Electronics,728.04,2,53,Female,04 July 2023,Credit Card,0.17,Europe,Regular,,,
123,3,Headphones,Accessories,587.53,3,56,Male,06 March 2023,Debit Card,0.09,South America,Premium,,,
124,5,Tablet,Electronics,917.35,4,56,Male,10 August 2023,PayPal,0.17,North America,Regular,,,
125,1,Laptop,Electronics,980.43,5,32,Female,11 October 2023,Credit Card,0.03,South America,Premium,,,
126,2,Smartphone,Electronics,696.07,1,46,Male,09 March 2023,PayPal,0.09,Africa,Premium,,,
127,2,Smartphone,Electronics,253.25,2,35,Male,07 January 2023,PayPal,0.24,Europe,Regular,,,
128,4,Smartwatch,Electronics,576.29,3,65,Female,10 September 2023,PayPal,0.27,Europe,Regular,,,
129,3,Headphones,Accessories,271.44,5,38,Male,09 October 2023,Debit Card,0.17,Africa,Regular,,,
130,3,Headphones,Accessories,389.77,1,50,Male,25 September 2023,Credit Card,0.11,Europe,Regular,,,
131,5,Tablet,Electronics,523.14,3,37,Male,21 May 2023,Credit Card,0.17,North America,Regular,,,
132,2,Smartphone,Electronics,804.69,5,24,Female,22 August 2023,PayPal,0.17,Asia,Premium,,,
133,5,Tablet,Electronics,333.87,4,49,Male,19 April 2023,Credit Card,0.24,Europe,Premium,,,
134,3,Headphones,Accessories,500.45,3,54,Female,03 August 2023,PayPal,0.04,Africa,Regular,,,
135,5,Tablet,Electronics,1155.81,4,45,Female,13 September 2023,Bank Transfer,0.21,South America,Regular,,,
136,5,Tablet,Electronics,924.01,5,25,Male,07 January 2023,PayPal,0.15,Africa,Regular,,,
137,1,Laptop,Electronics,1094.51,4,46,Female,12 July 2023,Debit Card,0.06,Europe,Premium,,,
138,4,Smartwatch,Electronics,353.64,2,25,Female,11 November 2023,Credit Card,0.02,Asia,Regular,,,
139,1,Laptop,Electronics,660.81,1,48,Male,23 October 2023,Credit Card,0.21,Africa,Regular,,,
140,5,Tablet,Electronics,223.65,3,36,Female,25 February 2023,PayPal,0.22,Europe,Regular,,,
141,5,Tablet,Electronics,629.72,5,59,Female,18 March 2023,Credit Card,0.13,North America,Regular,,,
142,4,Smartwatch,Electronics,893.11,5,24,Female,24 August 2023,Credit Card,0.16,Africa,Premium,,,
143,3,Headphones,Accessories,544.37,1,58,Female,08 January 2023,Debit Card,0.12,South America,Regular,,,
144,1,Laptop,Electronics,151.28,5,48,Male,01 February 2023,Debit Card,0.03,Europe,Regular,,,
145,3,Headphones,Accessories,1204.26,4,49,Male,10 November 2023,Credit Card,0.18,North America,Premium,,,
